Perseus 3714 4778 4145 4771
Perseus 3753 4258 3965 4001
Perseus 3901 3188 3738 3228
Perseus 3965 4001 3983 3578
Perseus 3983 3578 3901 3188
Perseus 4145 4771 4248 4841
Perseus 4248 4841 4110 5035
Phoenix 1101 -4671 1521 -4906
Phoenix 1101 -4671 438 -4230
Phoenix 1139 -5525 1101 -4671
Phoenix 1473 -4331 1101 -4671
Phoenix 1521 -4906 1473 -4331
Phoenix 438 -4230 156 -4574
Pictor 5830 -5616 5788 -5106
Pictor 6803 -6193 5830 -5616
PiscesAustrinus 21748 -3303 22139 -3298
PiscesAustrinus 22139 -3298 22524 -3234
PiscesAustrinus 22524 -3234 22875 -3288
PiscesAustrinus 22875 -3288 22931 -3253
PiscesAustrinus 22931 -3253 22960 -2961
PiscesAustrinus 22960 -2961 22678 -2705
PiscesAustrinus 22960 -2961 23156 -2116
Pisces 1048 788 811 758
Pisces 1228 2458 1325 2726
Pisces 1325 2726 1194 3008
Pisces 1525 1535 1228 2458
Pisces 1690 548 1048 788
Pisces 1756 915 1525 1535
Pisces 2033 276 1690 548
Pisces 2033 276 1756 915
Pisces 23286 328 23064 381
Pisces 23286 328 23466 638
Pisces 23448 125 23286 328
Pisces 23466 638 23665 563
Pisces 23665 563 23700 178
Pisces 23700 178 23448 125
Pisces 23988 686 23665 563
Pisces 811 758 23988 686
Puppis 6629 -4320 6831 -5061
Puppis 6831 -5061 7256 -4398
Puppis 7256 -4398 6629 -4320
Puppis 7256 -4398 7486 -4329
Puppis 7284 -3709 8059 -4000
Puppis 7486 -4329 7284 -3709
Puppis 7729 -2895 8059 -4000
Puppis 7821 -2486 7729 -2895
Puppis 8059 -4000 7486 -4329
Puppis 8125 -2429 7821 -2486
Pyxis 8668 -3530 8726 -3318
Pyxis 8726 -3318 8841 -2771
Reticulum 3736 -6480 4240 -6246
Reticulum 3978 -6139 4014 -6216
Reticulum 4014 -6216 3736 -6480
Reticulum 4240 -6246 4275 -5929
Reticulum 4275 -5929 3978 -6139
Sculptor 23313 -3253 23815 -2813
Sculptor 23550 -3781 23313 -3253
Sculptor 23815 -2813 976 -2935
Scorpius 16004 -2261 15979 -2611
Scorpius 16004 -2261 16090 -1980
Scorpius 16004 -2261 16353 -2560
Scorpius 16353 -2560 16490 -2643
Scorpius 16490 -2643 16598 -2821
Scorpius 16598 -2821 16836 -3430
Scorpius 16836 -3430 16864 -3805
Scorpius 16864 -3805 16909 -4236
Scorpius 16909 -4236 17203 -4323
Scorpius 17203 -4323 17621 -4299
Scorpius 17560 -3710 17513 -3730
Scorpius 17621 -4299 17793 -4013
Scorpius 17708 -3903 17560 -3710
Scorpius 17793 -4013 17708 -3903
Scutum 18486 -1456 18586 -825
Scutum 18586 -825 18786 -474
Serpens 15579 1053 15738 643
Serpens 15738 643 15846 448
Serpens 15770 1541 15579 1053
Serpens 15811 1813 15693 1966
Serpens 15811 1813 15770 1541
Serpens 15811 1813 15855 2098
Serpens 15811 1813 15941 1566
Serpens 15826 -343 16238 -370
Serpens 15846 448 15826 -343
Serpens 17346 -1284 17173 -1571
Serpens 17626 -1540 17346 -1284
Serpens 17690 -1288 17626 -1540
Serpens 17983 -976 17690 -1288
Serpens 18354 -290 17983 -976
Serpens 18936 419 18354 -290
Sextans 10131 -36 10504 -63
Sextans 10491 -273 9874 -809
Sextans 10504 -63 10491 -273
Sextans 9874 -809 10131 -36
SGE 19789 1853 19668 1801
SGE 19789 1853 19683 1748
SGE 19980 1949 19789 1853
Sagittarius 18096 -3041 18403 -3438
Sagittarius 18350 -2983 18096 -3041
Sagittarius 18403 -3438 18350 -2983
Sagittarius 18403 -3438 19043 -2988
Sagittarius 18466 -2541 18350 -2983
Sagittarius 18761 -2698 18466 -2541
Sagittarius 18921 -2629 18761 -2698
Sagittarius 18921 -2629 19078 -2175
Sagittarius 19043 -2988 18761 -2698
Sagittarius 19043 -2988 19115 -2766
Sagittarius 19078 -2175 18961 -2110
Sagittarius 19078 -2175 19163 -2101
Sagittarius 19115 -2766 18921 -2629
Sagittarius 19163 -2101 19361 -1785
Sagittarius 19376 -4446 19398 -4061
Sagittarius 19398 -4061 19043 -2988
Taurus 3453 973 3413 903
Taurus 4011 1248 3453 973
Taurus 4329 1563 4011 1248
Taurus 4381 1755 4329 1563
Taurus 4425 1793 4381 1755
Taurus 4476 1596 4329 1563
Taurus 4476 1918 4425 1793
Taurus 4598 1651 4476 1596
Taurus 4703 2295 4476 1918
Taurus 5438 2860 4703 2295
Taurus 5626 2115 4598 1651
Telescopium 18450 -4596 18186 -4594
Telescopium 18480 -4906 18450 -4596
